Subject Name,Sample ID,Project,Nucleic acid,Species,Cell type,Photoperiod,Diet,zTime,Hours from lights off,ExT,Sex,cage number,Extraction protocol,"Extraction pool (A,B,C)",Library protocol,Library Pool,Sequencing Lane
9_5,0101_83,Seasonal Study,RNA,Mouse,Liver,LL,LFD,0,6,3,Male,9,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
7_1,0101_84,Seasonal Study,RNA,Mouse,Liver,LL,LFD,16,22,19,Male,7,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
6_3,0101_85,Seasonal Study,RNA,Mouse,Liver,EL,HFD,0,12,6,Male,6,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
21_5,0101_86,Seasonal Study,RNA,Mouse,Liver,LL,HFD,0,6,3,Male,21,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
13_4,0101_87,Seasonal Study,RNA,Mouse,Liver,EL,LFD,20,8,2,Male,13,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
3_5,0101_88,Seasonal Study,RNA,Mouse,Liver,SL,HFD,16,10,1,Male,3,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
8_1,0101_89,Seasonal Study,RNA,Mouse,Liver,LL,HFD,4,10,7,Male,8,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
1_5,0101_9,Seasonal Study,RNA,Mouse,Liver,LL,HFD,12,18,15,Male,1,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,1,2
3_4,0101_90,Seasonal Study,RNA,Mouse,Liver,SL,HFD,12,6,21,Male,3,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
23_6,0101_91,Seasonal Study,RNA,Mouse,Liver,SL,LFD,12,6,21,Male,23,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
17_2,0101_92,Seasonal Study,RNA,Mouse,Liver,EL,HFD,12,0,18,Male,17,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
18_3,0101_93,Seasonal Study,RNA,Mouse,Liver,EL,HFD,4,16,10,Male,18,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
3_1,0101_94,Seasonal Study,RNA,Mouse,Liver,SL,HFD,0,18,9,Male,3,Trizol+ Qiagen Rneasy,A,Truseq stranded mRNAseq,2,1
24_5,0101_95,Seasonal Study,RNA,Mouse,Liver,SL,HFD,0,18,9,Male,24,Trizol+ Qiagen Rneasy,C,Truseq stranded mRNAseq,2,1
15_1,0101_96,Seasonal Study,RNA,Mouse,Liver,SL,HFD,16,10,1,Male,15,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
13_2,0101_97,Seasonal Study,RNA,Mouse,Liver,EL,LFD,16,4,22,Male,13,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
16_1,0101_98,Seasonal Study,RNA,Mouse,Liver,LL,HFD,4,10,7,Male,16,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
17_4,0101_99,Seasonal Study,RNA,Mouse,Liver,EL,HFD,0,12,6,Male,17,Trizol+ Qiagen Rneasy,B,Truseq stranded mRNAseq,2,1
